Molecule ChEMBL ID,Smiles,pChEMBL Value
CHEMBL5288578,Cc1nn(CCN2CCN(C)CC2)c2ccc(NC(=O)NCCCn3cncc3C)cc12,7.54
CHEMBL2418795,c1ccc(CCCSc2nnc(-c3ccc4[nH]cnc4c3)o2)cc1,5.23
CHEMBL5069682,COc1ccc(N(C(=S)NCCCn2cncc2C)C2CCN(C)CC2)cc1OC,8.21
CHEMBL2392814,Cc1cncn1CCCNC(=S)Nc1ccc2c(c1)CCCO2,6.68
CHEMBL4063751,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCCN1CCCCC1,7.87
CHEMBL4207817,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCNC(=O)C1CCNCC1,7.8
CHEMBL565704,S=C1Nc2ccccc2CN1CCCn1ccnc1,6.52
CHEMBL577061,Cc1cn(CCCN2Cc3ccccc3NC2=S)cn1,6.64
CHEMBL567646,Cc1cncn1CCCN1Cc2ccccc2NC1=S,7.75
CHEMBL5094666,COc1cc(C2(C(=O)NCCCn3cncc3C)CCCC2)ccc1OCCCCc1ccnc(N)c1,7.62
CHEMBL4446821,COc1ccc(N(CC2CCCC2)C(=O)NCCCn2cncc2C)cc1OC,8.21
CHEMBL4462968,COc1ccc(N(C(=S)NCCCn2cncc2C)C2CCCCC2)cc1OC,8.33
CHEMBL4578087,COc1ccc(N(C(=S)NCCCn2cncc2C)C2CC2)cc1OC,7.59
CHEMBL201071,COc1ccc(NC(=S)N(C)CCCn2ccnc2)cc1OC,5.32
CHEMBL198290,S=C(NCCCn1ccnc1)Nc1ccccc1,5.35
CHEMBL201301,S=C(NCCCn1ccnc1)Nc1ccc(Cl)cc1,5.91
CHEMBL201747,COc1ccc(NC(=S)NCCCn2ccnc2)cc1OC,6.69
CHEMBL4214145,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCC(=O)N(C)C,6.93
CHEMBL4212129,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCC(N)=O,7.05
CHEMBL565917,COc1ccc(NC(=S)NCCCn2cnc(C)c2)cc1OC,7.22
CHEMBL4207782,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCCC(N)=O,7.27
CHEMBL4209873,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCCC(=O)N(C)C,7.29
CHEMBL4127700,COc1ccc(NC(=S)NCCCn2cncc2C)cc1OCCCCN(C)C,7.33
